Jornada,Orden,Negocio,Direccion,Giro,Prioridad,Maps
Jornada 1,18,Barber & Nails Ferrusca's,"3a Cerrada Iturbide 46, Culhuacan, Iztapalapa, Ciudad de Mexico, CDMX",Barberia + unas,Media,https://www.google.com/maps/search/?api=1&query=3a%20Cerrada%20Iturbide%2046%2C%20Culhuacan%2C%20Iztapalapa%2C%20Ciudad%20de%20Mexico%2C%20CDMX
Jornada 2,19,Kyomu Nail Art Studio,"Av. Carlota Armero 5, Culhuacan CTM VII, Coyoacan, Ciudad de Mexico, CDMX",Unas,Alta,https://www.google.com/maps/search/?api=1&query=Av.%20Carlota%20Armero%205%2C%20Culhuacan%20CTM%20VII%2C%20Coyoacan%2C%20Ciudad%20de%20Mexico%2C%20CDMX
Jornada 2,20,(sin nombre publico),"Av. Carlota Armero 5, Culhuacan CTM VII, Coyoacan, Ciudad de Mexico, CDMX",Pestanas / estetica,Alta,https://www.google.com/maps/search/?api=1&query=Av.%20Carlota%20Armero%205%2C%20Culhuacan%20CTM%20VII%2C%20Coyoacan%2C%20Ciudad%20de%20Mexico%2C%20CDMX
Jornada 2,21,(sin nombre publico),"Av. Carlota Armero 42, Culhuacan CTM V, Coyoacan, Ciudad de Mexico, CDMX",Estetica,Alta,https://www.google.com/maps/search/?api=1&query=Av.%20Carlota%20Armero%2042%2C%20Culhuacan%20CTM%20V%2C%20Coyoacan%2C%20Ciudad%20de%20Mexico%2C%20CDMX
Jornada 2,22,Cena,"Av. Carlota Armero 150, Culhuacan CTM VI, Coyoacan, Ciudad de Mexico, CDMX",Restaurante,Media,https://www.google.com/maps/search/?api=1&query=Av.%20Carlota%20Armero%20150%2C%20Culhuacan%20CTM%20VI%2C%20Coyoacan%2C%20Ciudad%20de%20Mexico%2C%20CDMX
Jornada 2,23,Tu Spacio,"Av. Carlota Armero 152, Culhuacan CTM VI, Coyoacan, Ciudad de Mexico, CDMX",Spa,Alta,https://www.google.com/maps/search/?api=1&query=Av.%20Carlota%20Armero%20152%2C%20Culhuacan%20CTM%20VI%2C%20Coyoacan%2C%20Ciudad%20de%20Mexico%2C%20CDMX
Jornada 2,24,Comida Casera,"Av. Carlota Armero 158, Culhuacan CTM VI, Coyoacan, Ciudad de Mexico, CDMX",Fonda / comida corrida,Media,https://www.google.com/maps/search/?api=1&query=Av.%20Carlota%20Armero%20158%2C%20Culhuacan%20CTM%20VI%2C%20Coyoacan%2C%20Ciudad%20de%20Mexico%2C%20CDMX
Jornada 2,25,Sushi Sakura,"Sushi Sakura, Carlota Armero 177, Culhuacan CTM VI, Coyoacan, Ciudad de Mexico, CDMX",Restaurante,Media,https://www.google.com/maps/search/?api=1&query=Sushi%20Sakura%2C%20Carlota%20Armero%20177%2C%20Culhuacan%20CTM%20VI%2C%20Coyoacan%2C%20Ciudad%20de%20Mexico%2C%20CDMX
Jornada 2,26,Tacos de Guisado y Desayunos Saaba,"Av. Carlota Armero 193, Culhuacan CTM VI, Coyoacan, Ciudad de Mexico, CDMX",Taqueria,Media,https://www.google.com/maps/search/?api=1&query=Av.%20Carlota%20Armero%20193%2C%20Culhuacan%20CTM%20VI%2C%20Coyoacan%2C%20Ciudad%20de%20Mexico%2C%20CDMX
Jornada 2,27,Lumineé,"Av. Carlota Armero 285, Culhuacan CTM V, Coyoacan, Ciudad de Mexico, CDMX",Clinica dental,Alta,https://www.google.com/maps/search/?api=1&query=Av.%20Carlota%20Armero%20285%2C%20Culhuacan%20CTM%20V%2C%20Coyoacan%2C%20Ciudad%20de%20Mexico%2C%20CDMX
Jornada 2,28,(sin nombre publico),"Av. Carlota Armero 416, Culhuacan CTM V, Coyoacan, Ciudad de Mexico, CDMX",Pestanas / unas,Alta,https://www.google.com/maps/search/?api=1&query=Av.%20Carlota%20Armero%20416%2C%20Culhuacan%20CTM%20V%2C%20Coyoacan%2C%20Ciudad%20de%20Mexico%2C%20CDMX
Jornada 2,29,MFBEAUTY,"Av. Carlota Armero esquina Cahitas, Culhuacan CTM V, Coyoacan, Ciudad de Mexico, CDMX",Salon de belleza,Alta,https://www.google.com/maps/search/?api=1&query=Av.%20Carlota%20Armero%20esquina%20Cahitas%2C%20Culhuacan%20CTM%20V%2C%20Coyoacan%2C%20Ciudad%20de%20Mexico%2C%20CDMX
Jornada 2,30,(sin nombre publico),"Manuela Canizares, Culhuacan CTM VI, Coyoacan, Ciudad de Mexico, CDMX","Pestanas, tinte, spa",Media,https://www.google.com/maps/search/?api=1&query=Manuela%20Canizares%2C%20Culhuacan%20CTM%20VI%2C%20Coyoacan%2C%20Ciudad%20de%20Mexico%2C%20CDMX
Jornada 2,31,(sin nombre publico),"Av. Canal Nacional 260, Culhuacan CTM VII, Coyoacan, Ciudad de Mexico, CDMX",Extensiones de pestanas,Alta,https://www.google.com/maps/search/?api=1&query=Av.%20Canal%20Nacional%20260%2C%20Culhuacan%20CTM%20VII%2C%20Coyoacan%2C%20Ciudad%20de%20Mexico%2C%20CDMX
Jornada 2,32,Restaurante Continental,"1er Retorno de Canal Nacional 71, Culhuacan CTM VII, Coyoacan, Ciudad de Mexico, CDMX",Restaurante,Media,https://www.google.com/maps/search/?api=1&query=1er%20Retorno%20de%20Canal%20Nacional%2071%2C%20Culhuacan%20CTM%20VII%2C%20Coyoacan%2C%20Ciudad%20de%20Mexico%2C%20CDMX
Jornada 3,33,SUA Salón Estilistas,"Calzada del Hueso 990, El Mirador, Coyoacan, Ciudad de Mexico, CDMX",Salon,Alta,https://www.google.com/maps/search/?api=1&query=Calzada%20del%20Hueso%20990%2C%20El%20Mirador%2C%20Coyoacan%2C%20Ciudad%20de%20Mexico%2C%20CDMX
Jornada 3,34,M+ Coffee Shop,"M+ Coffee Shop, Calzada del Hueso 940, Coyoacan, Ciudad de Mexico, CDMX",Cafeteria de especialidad + brunch,Alta,https://www.google.com/maps/search/?api=1&query=M%2B%20Coffee%20Shop%2C%20Calzada%20del%20Hueso%20940%2C%20Coyoacan%2C%20Ciudad%20de%20Mexico%2C%20CDMX
Jornada 3,35,Estética Rafaello Extasis,"Calzada del Hueso 921, Granjas Coapa, Tlalpan, Ciudad de Mexico, CDMX",Estetica,Alta,https://www.google.com/maps/search/?api=1&query=Calzada%20del%20Hueso%20921%2C%20Granjas%20Coapa%2C%20Tlalpan%2C%20Ciudad%20de%20Mexico%2C%20CDMX
Jornada 3,36,Dentalay,"Dentalay, Calzada del Hueso 921, Granjas Coapa, Tlalpan, Ciudad de Mexico, CDMX",Clinica dental,Alta,https://www.google.com/maps/search/?api=1&query=Dentalay%2C%20Calzada%20del%20Hueso%20921%2C%20Granjas%20Coapa%2C%20Tlalpan%2C%20Ciudad%20de%20Mexico%2C%20CDMX
Jornada 3,37,NailClipp Calzada del Hueso,"Calzada del Hueso 846, Hacienda de Coyoacan, Coyoacan, Ciudad de Mexico, CDMX",Unas,Alta,https://www.google.com/maps/search/?api=1&query=Calzada%20del%20Hueso%20846%2C%20Hacienda%20de%20Coyoacan%2C%20Coyoacan%2C%20Ciudad%20de%20Mexico%2C%20CDMX
Jornada 3,38,Spa by Dan,"Calzada del Hueso 828, Hacienda de Coyoacan, Coyoacan, Ciudad de Mexico, CDMX",Spa,Alta,https://www.google.com/maps/search/?api=1&query=Calzada%20del%20Hueso%20828%2C%20Hacienda%20de%20Coyoacan%2C%20Coyoacan%2C%20Ciudad%20de%20Mexico%2C%20CDMX
Jornada 3,39,Fénix Café,"Fenix Cafe, Calzada del Hueso 701, Coyoacan, Ciudad de Mexico, CDMX",Cafeteria tematica,Alta,https://www.google.com/maps/search/?api=1&query=Fenix%20Cafe%2C%20Calzada%20del%20Hueso%20701%2C%20Coyoacan%2C%20Ciudad%20de%20Mexico%2C%20CDMX
Jornada 3,40,Aesthetics and Sharm Podología,"Calzada del Hueso 670, Los Sauces, Coyoacan, Ciudad de Mexico, CDMX",Estetica + podologia,Alta,https://www.google.com/maps/search/?api=1&query=Calzada%20del%20Hueso%20670%2C%20Los%20Sauces%2C%20Coyoacan%2C%20Ciudad%20de%20Mexico%2C%20CDMX
Jornada 3,41,CM Innovando La Belleza,"Calzada del Hueso 519, Acoxpa, Tlalpan, Ciudad de Mexico, CDMX",Estetica,Alta,https://www.google.com/maps/search/?api=1&query=Calzada%20del%20Hueso%20519%2C%20Acoxpa%2C%20Tlalpan%2C%20Ciudad%20de%20Mexico%2C%20CDMX
Jornada 3,42,Cire Coapa,"Calzada del Hueso 453, Girasoles, Coyoacan, Ciudad de Mexico, CDMX",Depilacion / estetica,Alta,https://www.google.com/maps/search/?api=1&query=Calzada%20del%20Hueso%20453%2C%20Girasoles%2C%20Coyoacan%2C%20Ciudad%20de%20Mexico%2C%20CDMX
Jornada 3,43,Nailkery Coapa,"Calzada del Hueso 453, Girasoles, Coyoacan, Ciudad de Mexico, CDMX",Unas,Alta,https://www.google.com/maps/search/?api=1&query=Calzada%20del%20Hueso%20453%2C%20Girasoles%2C%20Coyoacan%2C%20Ciudad%20de%20Mexico%2C%20CDMX
Jornada 3,44,Mariscos Don Chava,"Mariscos Don Chava, Calzada del Hueso 349, Granjas Coapa, Ciudad de Mexico, CDMX",Marisqueria,Alta,https://www.google.com/maps/search/?api=1&query=Mariscos%20Don%20Chava%2C%20Calzada%20del%20Hueso%20349%2C%20Granjas%20Coapa%2C%20Ciudad%20de%20Mexico%2C%20CDMX
Jornada 3,45,NailClipp Coapa,"Calzada del Hueso 160, Ex Hacienda Coapa, Tlalpan, Ciudad de Mexico, CDMX",Unas,Alta,https://www.google.com/maps/search/?api=1&query=Calzada%20del%20Hueso%20160%2C%20Ex%20Hacienda%20Coapa%2C%20Tlalpan%2C%20Ciudad%20de%20Mexico%2C%20CDMX
Jornada 3,46,(sin nombre publico),"Calzada del Hueso 126, Ex Hacienda Coapa, Tlalpan, Ciudad de Mexico, CDMX",Cafeteria + pizzas y crepas,Alta,https://www.google.com/maps/search/?api=1&query=Calzada%20del%20Hueso%20126%2C%20Ex%20Hacienda%20Coapa%2C%20Tlalpan%2C%20Ciudad%20de%20Mexico%2C%20CDMX
Jornada 3,47,Colegio Alejandro Guillot,"Colegio Alejandro Guillot, Canal de Miramontes 3160, Ex Hacienda Coapa, Tlalpan, Ciudad de Mexico, CDMX",Kinder y primaria privada,Alta,https://www.google.com/maps/search/?api=1&query=Colegio%20Alejandro%20Guillot%2C%20Canal%20de%20Miramontes%203160%2C%20Ex%20Hacienda%20Coapa%2C%20Tlalpan%2C%20Ciudad%20de%20Mexico%2C%20CDMX
Jornada 3,48,Predio Miramontes 2769 (3 puertas),"Canal de Miramontes 2769, Jardines de Coyoacan, Coyoacan, Ciudad de Mexico, CDMX",2 dentales + 1 estetica en un edificio,Alta,https://www.google.com/maps/search/?api=1&query=Canal%20de%20Miramontes%202769%2C%20Jardines%20de%20Coyoacan%2C%20Coyoacan%2C%20Ciudad%20de%20Mexico%2C%20CDMX
Jornada 3,49,Star Dental Protect,"Canal de Miramontes 2733, Jardines de Coyoacan, Coyoacan, Ciudad de Mexico, CDMX",Clinica dental,Alta,https://www.google.com/maps/search/?api=1&query=Canal%20de%20Miramontes%202733%2C%20Jardines%20de%20Coyoacan%2C%20Coyoacan%2C%20Ciudad%20de%20Mexico%2C%20CDMX
Jornada 3,50,Zona Dental,"Canal de Miramontes 2706, Coyoacan, Ciudad de Mexico, CDMX",Clinica dental,Alta,https://www.google.com/maps/search/?api=1&query=Canal%20de%20Miramontes%202706%2C%20Coyoacan%2C%20Ciudad%20de%20Mexico%2C%20CDMX
